time="2026-08-25T13:39:29-04:00" level=warning msg="The \"OPENAI_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-08-25T13:39:29-04:00" level=warning msg="The \"LANGCHAIN_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-08-25T13:39:29-04:00" level=warning msg="The \"OPENAI_API_KEY\" variable is not set. Defaulting to a blank string."
time="2026-08-25T13:39:29-04:00" level=warning msg="The \"LANGCHAIN_API_KEY\" variable is not set. Defaulting to a blank string."
graphrag-fastapi  | INFO:     127.0.0.1:55456 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:45510 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:51170 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:35652 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:45204 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:60308 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:40334 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:39464 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:34306 - "GET /health HTTP/1.1" 200 OK
graphrag-fastapi  | INFO:     127.0.0.1:60912 - "GET /health HTTP/1.1" 200 OK
